2020-01-13 11:14:37.508 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:37.568 DEBUG [   scheduling-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:37.657 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:37.657 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:37.808 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:37.821 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:37.825 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:37.969 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:37.992 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:38.126 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
