2020-01-09 21:03:12.015 DEBUG [   scheduling-1] [o.h.SQL] logStatement (127): select articleent0_.id as id1_0_, articleent0_.articleId as articleI2_0_, articleent0_.content as content3_0_, articleent0_.image as image4_0_, articleent0_.posting_dtime as posting_5_0_, articleent0_.price as price6_0_, articleent0_.reg_dtime as reg_dtim7_0_, articleent0_.site as site8_0_, articleent0_.state as state9_0_, articleent0_.subject as subject10_0_, articleent0_.upd_dtime as upd_dti11_0_, articleent0_.url as url12_0_ from TB_ARTICLE articleent0_ where articleent0_.site=? order by articleent0_.articleId desc limit ?
2020-01-09 21:03:14.688 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:14.772 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:14.782 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:15.040 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:15.102 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:15.168 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:15.429 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:15.480 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:15.612 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:15.658 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:15.689 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:15.813 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:15.895 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:15.990 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:16.094 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:16.121 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:16.209 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:16.276 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:16.417 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:16.484 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:16.504 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:16.603 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:16.731 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:16.755 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:16.790 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:16.942 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:17.008 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:17.068 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:17.151 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:17.306 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:17.384 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:17.507 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:17.538 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:17.618 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:17.750 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-09 21:03:17.848 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
